City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,69.8,scattered clouds,-20.52,57.52,Bils' Villa
1,Kovur,IN,76.17,scattered clouds,14.48,79.98,Pleasant Stay
2,Atuona,PF,77.47,light rain,-9.8,-139.03,Villa Enata
3,Bethel,US,52.0,mist,41.37,-73.41,Courtyard by Marriott Danbury
4,Upernavik,GL,15.85,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
5,Busselton,AU,57.99,broken clouds,-33.65,115.33,Observatory Guest House
6,Butaritari,KI,82.29,clear sky,3.07,172.79,Isles Sunset Lodge
7,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
8,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
9,Luohe,CN,54.54,scattered clouds,33.57,114.04,BNB 29-Tunxi Old Street Branch
10,Qaanaaq,GL,2.66,clear sky,77.48,-69.36,Qaanaaq Hotel
11,Ushuaia,AR,59.0,broken clouds,-54.8,-68.3,Albatros Hotel
12,Talnakh,RU,21.2,light snow,69.49,88.4,Talnakh Hotel
13,Ponta Do Sol,PT,69.01,few clouds,32.67,-17.1,Hotel do Campo
14,Faanui,PF,80.6,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Tasiilaq,GL,26.6,broken clouds,65.61,-37.64,The Red House
16,Sibiti,CG,69.26,light rain,-3.68,13.35,
17,Mount Isa,AU,84.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
18,Hobart,AU,64.99,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
19,Nanortalik,GL,32.2,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
20,Flinders,AU,66.99,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
21,Santa Maria,BR,71.6,scattered clouds,-29.68,-53.81,Hotel Morotin
22,Cape Town,ZA,66.99,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
23,Gorontalo,ID,79.39,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
24,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Yaan,NG,76.03,overcast clouds,7.38,8.57,
26,Khatanga,RU,5.32,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
27,Inirida,CO,71.38,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
28,Omboue,GA,75.11,overcast clouds,-1.57,9.26,Hotel Olako
29,Vao,NC,74.3,broken clouds,-22.67,167.48,Hotel Kou-Bugny
30,Vestmannaeyjar,IS,39.27,clear sky,63.44,-20.27,Glamping & Camping
31,Nikolskoye,RU,33.8,overcast clouds,59.7,30.79,Tourist House - Sablino
32,Danane,CI,71.83,broken clouds,7.26,-8.15,Hotel du marché
33,Kodiak,US,32.0,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
34,Tual,ID,83.53,overcast clouds,-5.67,132.75,Grand Vilia Hotel
35,Port Alfred,ZA,65.32,scattered clouds,-33.59,26.89,The Halyards Hotel
36,Rikitea,PF,74.32,light rain,-23.12,-134.97,Pension Maro'i
37,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
38,Punta Gorda,US,81.0,overcast clouds,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
39,Kruisfontein,ZA,64.0,few clouds,-34.0,24.73,Oyster Bay House Rental
40,Saskylakh,RU,-10.08,broken clouds,71.92,114.08,
41,Leningradskiy,RU,15.4,overcast clouds,69.38,178.42,
42,Tiksi,RU,-4.99,clear sky,71.69,128.87,Arktika
43,Cherskiy,RU,2.17,overcast clouds,68.75,161.3,Gostinitsa
44,Kavaratti,IN,80.92,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
45,Hilo,US,86.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
46,Ahipara,NZ,71.08,overcast clouds,-35.17,173.17,Ahipara Holiday Park
47,Punta Arenas,CL,53.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
48,Nampula,MZ,71.2,few clouds,-15.12,39.27,Tacab Residencial
49,Kabo,CF,72.59,overcast clouds,7.7,18.63,
50,Hami,CN,37.11,clear sky,42.8,93.45,Laoyutang Resort
51,Puerto Palomas,MX,73.4,clear sky,31.77,-107.62,Hotel San Carlos
52,Lebu,CL,54.54,broken clouds,-37.62,-73.65,Hostal Las Lilas
53,Atar,MR,81.9,overcast clouds,20.52,-13.05,Oumou Elghoura
54,Airai,TL,69.6,overcast clouds,-8.93,125.41,Juvinal Martin
55,Naryan-Mar,RU,28.81,overcast clouds,67.67,53.09,Hostel Agat
56,Yumen,CN,27.32,clear sky,40.28,97.2,
57,Ribeira Grande,PT,64.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
58,Georgetown,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
59,Lagoa,PT,63.3,overcast clouds,39.05,-27.98,Casa Das Faias
60,Kawalu,ID,71.78,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
61,Zaozerne,UA,54.1,light rain,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
62,Bredasdorp,ZA,64.4,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
63,Dunlop,AU,61.0,few clouds,-35.19,149.02,Grevillea Lodge
64,Donegal,IE,45.5,light rain,54.65,-8.12,The Central Hotel Donegal
65,Mahebourg,MU,69.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
66,Bluff,NZ,53.01,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
67,Hasaki,JP,55.4,fog,35.73,140.83,Inubosaki Kanko Hotel
68,Tura,IN,68.34,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
69,Mataura,NZ,53.01,scattered clouds,-46.19,168.86,Ellie's Villa
70,Bambous Virieux,MU,69.8,scattered clouds,-20.34,57.76,Casa Tia Villa
71,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
72,Bengkulu,ID,75.45,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
73,Pauini,BR,77.49,light rain,-7.71,-66.98,Casa do Kiwliks
74,Tallahassee,US,77.0,few clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
75,New Norfolk,AU,64.99,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
76,Dikson,RU,17.24,overcast clouds,73.51,80.55,
77,Chuy,UY,53.94,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
78,Victoria,HK,75.0,light rain,22.29,114.16,Mini Hotel Central
79,Harbin,CN,33.01,clear sky,45.75,126.65,Harbin Ferris Wheel
80,Kuliyapitiya,LK,78.8,scattered clouds,7.47,80.04,Rest House
81,Provideniya,RU,21.2,clear sky,64.38,-173.3,
82,Cabo San Lucas,MX,89.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
83,Hermanus,ZA,64.0,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
84,Necochea,AR,64.99,scattered clouds,-38.55,-58.74,dyd -mar Hotel
85,Jamestown,US,35.01,fog,42.1,-79.24,Hampton Inn & Suites Jamestown
86,Mandera,KE,80.71,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
87,Bud,US,39.2,broken clouds,39.45,-86.18,
88,Mount Gambier,AU,60.8,broken clouds,-37.83,140.77,Commodore on the Park
89,Sao Joao Da Barra,BR,71.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
90,Egvekinot,RU,11.37,scattered clouds,66.32,-179.17,
91,Chapais,CA,32.0,light snow,49.78,-74.85,Hôtel Opémiska
92,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
93,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
94,Saint-Nazaire,FR,62.6,overcast clouds,47.28,-2.2,Hôtel Restaurant le Berry
95,Grand Gaube,MU,68.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
96,Nardaran,AZ,57.2,fog,40.56,50.01,Bilgah Beach Hotel
97,Komsomolskiy,UZ,46.4,overcast clouds,40.43,71.72,Ikathouse
98,Thompson,CA,24.8,broken clouds,55.74,-97.86,Burntwood Hotel
99,Tarakan,ID,77.07,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
100,Lieto,FI,48.2,overcast clouds,60.51,22.46,Better
101,Sibolga,ID,75.67,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
